ID;Name;LongName;Parent;Component;Path;Line;Column;EndLine;EndColumn;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;Natt;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;WarningBlocker;WarningCritical;WarningInfo;WarningMajor;WarningMinor;Bad Practice Rules;Best Practice Rules;Clone Metric Rules;Code Style Rules;Cohesion Metric Rules;Complexity Metric Rules;Correctness Rules;Coupling Metric Rules;Design Rules;Documentation Metric Rules;Documentation Rules;Dodgy Code Rules;Error Prone Rules;Experimental Rules;Inheritance Metric Rules;Internationalization Rules;Multithreaded Correctness Rules;Multithreading Rules;Optimization Rules;Performance Rules;Runtime Rules;Security Code Guideline Rules;Security Rules;Size Metric Rules;Vulnerability Rules
L6941;SnowballProgram;org.tartarus.snowball.SnowballProgram;L159608;L103;D:\Descargas\lucene-4.9.1\analysis\common\src\java\org\tartarus\snowball\SnowballProgram.java;49;1;501;2;0.312849;4;36;8;0.256071;0.301205;116;100;1;3;3;108;3;28;251;1;30;0.857143;0.209524;88;45;6;1;0.209524;88;0;0;23;23;0;332;453;7;3;7;3;29;0;6;2;29;259;0;6;2;332;453;7;3;7;3;29;0;6;2;29;259;0;6;2;0;0;82;1;48;0;1;32;47;0;2;0;0;0;45;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0
L161098;Cell;org.egothor.stemmer.Cell;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Cell.java;60;1;94;2;0;0;0;0;0;0;0;0;1;0;0;3;0;8;7;0;3;1;0.514286;18;18;2;0;0.514286;18;0;0;0;0;0;17;35;4;0;4;0;3;0;1;0;3;5;0;1;0;17;35;4;0;4;0;3;0;1;0;3;5;0;1;0;0;0;0;0;8;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
L161121;Compile;org.egothor.stemmer.Compile;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Compile.java;72;1;203;2;0;0;0;0;0;0;0;0;1;5;5;21;7;1;3;12;15;1;0.134454;16;14;2;0;0.134454;16;0;0;0;0;0;103;132;3;0;3;0;3;0;1;0;3;78;0;1;0;103;132;3;0;3;0;3;0;1;0;3;78;0;1;0;0;3;12;4;10;0;6;0;5;0;3;0;1;3;6;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0
L161133;Diff;org.egothor.stemmer.Diff;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Diff.java;66;1;295;2;0.142675;1;6;2;0.0956522;0.133333;22;22;2;3;3;39;0;4;4;0;4;1;0.266667;60;34;5;0;0.266667;60;0;0;0;0;0;165;230;8;0;8;0;4;0;4;0;4;126;0;4;0;165;230;8;0;8;0;4;0;4;0;4;126;0;4;0;0;2;18;2;20;0;2;9;10;1;1;0;0;0;2;0;0;2;0;0;0;0;1;0;9;0;0;0;5;0
L161208;DiffIt;org.egothor.stemmer.DiffIt;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\DiffIt.java;68;1;121;2;0;0;0;0;0;0;0;0;1;5;5;9;1;0;0;2;5;1;0.301887;16;14;2;0;0.301887;16;0;0;0;0;0;37;54;0;0;0;0;3;0;1;0;3;26;0;1;0;37;54;0;0;0;0;3;0;1;0;3;26;0;1;0;0;2;4;4;6;0;4;0;2;0;2;0;0;3;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
L161160;Gener;org.egothor.stemmer.Gener;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Gener.java;66;1;132;2;0;0;0;0;0;0;0;0;1;3;3;13;4;2;2;3;6;1;0.333333;22;22;4;0;0.333333;22;1;1;0;0;1;44;67;0;0;0;0;3;0;3;0;6;32;0;5;0;44;67;0;0;0;0;3;0;3;0;6;32;0;5;0;0;0;0;0;6;0;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L161155;Lift;org.egothor.stemmer.Lift;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Lift.java;68;1;147;2;0;0;0;0;0;0;0;0;1;6;6;12;4;2;2;4;7;1;0.35;28;28;4;0;0.35;28;1;1;0;0;1;52;80;1;0;1;0;3;0;3;0;6;34;0;5;0;52;80;1;0;1;0;3;0;3;0;6;34;0;5;0;0;0;6;0;3;0;0;0;3;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L161282;MultiTrie;org.egothor.stemmer.MultiTrie;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\MultiTrie.java;69;1;209;2;0.4575;2;8;3;0.241135;0.423077;34;33;1;2;2;23;2;3;6;8;16;1;0.422222;57;57;9;0;0.422222;57;1;1;1;1;1;78;141;8;9;4;2;8;0;8;0;22;50;0;20;0;78;141;8;9;4;2;8;0;8;0;22;50;0;20;0;0;0;22;0;11;0;2;22;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
L29794;MultiTrie2;org.egothor.stemmer.MultiTrie2;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\MultiTrie2.java;70;1;334;2;0.454134;2;18;3;0.298113;0.396739;79;73;2;4;4;56;3;3;4;8;20;1;0.286822;74;61;9;0;0.286822;74;2;2;0;0;1;184;265;8;11;0;2;12;0;8;0;34;117;0;28;0;184;265;8;11;0;2;12;0;8;0;34;117;0;28;0;0;2;42;2;12;0;11;24;1;1;3;0;0;1;14;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
L161145;Optimizer;org.egothor.stemmer.Optimizer;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Optimizer.java;68;1;198;2;0;0;0;0;0;0;0;0;1;4;4;21;5;3;3;8;12;1;0.261905;33;32;5;0;0.261905;33;1;1;1;1;1;93;131;0;0;0;0;4;0;4;0;7;64;0;6;0;93;131;0;0;0;0;4;0;4;0;7;64;0;6;0;0;0;6;0;5;0;0;0;3;0;2;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L161150;Optimizer2;org.egothor.stemmer.Optimizer2;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Optimizer2.java;66;1;90;2;0;0;0;0;0;0;0;0;1;1;1;5;2;2;2;2;4;1;0.606061;20;20;3;0;0.606061;20;2;2;0;0;1;13;25;0;0;0;0;2;0;2;0;9;5;0;8;0;13;25;0;0;0;0;2;0;2;0;9;5;0;8;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L161220;Reduce;org.egothor.stemmer.Reduce;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Reduce.java;65;1;134;2;0;0;0;0;0;0;0;0;1;2;2;6;4;6;7;2;5;1;0.333333;13;13;3;0;0.333333;22;0;0;3;4;0;26;46;0;0;0;0;3;0;2;0;3;17;0;2;0;44;70;3;6;0;0;4;0;3;0;19;28;0;17;2;0;0;2;0;7;0;2;0;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L161235;Row;org.egothor.stemmer.Row;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Row.java;67;1;310;2;0.144615;1;6;2;0.0983607;0.163265;24;24;1;6;5;40;1;6;13;1;16;1;0.363636;84;84;15;0;0.363636;84;0;0;1;1;0;147;244;3;6;3;6;15;0;14;2;15;93;0;14;2;147;244;3;6;3;6;15;0;14;2;15;93;0;14;2;0;0;24;1;15;0;2;15;11;0;4;0;0;0;4;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0
L29667;Trie;org.egothor.stemmer.Trie;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\java\org\egothor\stemmer\Trie.java;72;1;421;2;0.0891473;1;10;2;0.0685714;0.104348;24;24;2;4;4;53;4;12;29;15;29;1;0.298305;88;88;13;0;0.296636;97;0;0;1;2;0;207;318;4;7;4;7;14;0;12;0;14;157;0;12;0;230;350;7;7;7;7;17;0;12;0;17;167;0;12;0;0;0;26;1;20;0;3;9;16;1;3;0;0;1;12;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
L161541;TestCompile;org.egothor.stemmer.TestCompile;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\test\org\egothor\stemmer\TestCompile.java;75;1;187;2;0.459016;1;3;3;0.39823;0.432692;45;45;1;4;4;15;5;0;0;7;13;0;0.00952381;1;0;0;4;0.00952381;1;1;1;0;0;1;104;113;47;6;0;0;6;0;3;0;112;76;28;96;3;104;113;47;6;0;0;6;0;3;0;112;76;28;96;3;0;4;48;2;9;0;7;23;1;0;2;0;0;1;15;0;0;3;0;0;0;0;0;0;3;0;0;0;8;0
L161560;TestStemmer;org.egothor.stemmer.TestStemmer;L161078;L103;D:\Descargas\lucene-4.9.1\analysis\stempel\src\test\org\egothor\stemmer\TestStemmer.java;60;1;168;2;0.605381;1;10;5;0.623853;0.6;68;45;1;2;2;15;8;0;0;11;18;0;0.0963855;8;0;0;7;0.0963855;8;1;1;0;0;1;75;109;47;6;0;0;7;0;6;0;113;58;28;99;3;75;109;47;6;0;0;7;0;6;0;113;58;28;99;3;0;0;53;0;7;0;7;32;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
