"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L29817","TestJapaneseAnalyzer","org.apache.lucene.analysis.ja.TestJapaneseAnalyzer","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseAnalyzer.java","31","1","211","2","0.185111","1","2","2","0.20442","0.242424","37","32","5","0","0","11","7","0","0","14","25","0.833333","0.22807","39","25","10","2","0.22807","39","2","2","0","0","1","132","181","47","6","0","0","11","0","11","0","161","37","28","138","3","132","181","47","6","0","0","11","0","11","0","161","37","28","138","3","0","0","40","8","2","0","9","12","1","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0"
"L29849","TestJapaneseBaseFormFilter","org.apache.lucene.analysis.ja.TestJapaneseBaseFormFilter","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseBaseFormFilter.java","31","1","80","2","0.190751","1","1","1","0.2","0.222222","10","10","2","0","0","5","4","0","0","9","14","0","0","0","0","0","6","0","0","2","2","0","0","1","29","34","48","6","1","0","5","0","5","0","155","8","28","132","3","45","50","53","18","1","0","8","0","5","0","191","15","30","162","6","0","0","64","2","1","0","2","21","0","1","0","0","0","1","28","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
"L29875","TestJapaneseBaseFormFilterFactory","org.apache.lucene.analysis.ja.TestJapaneseBaseFormFilterFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseBaseFormFilterFactory.java","30","1","53","2","0.40367","1","2","1","0.416667","0.454545","10","10","2","1","1","3","5","0","0","8","10","0.666667","0.16","4","4","2","1","0.153846","4","2","2","0","0","1","21","23","47","6","0","0","2","0","2","0","152","10","28","129","3","22","24","47","6","0","0","2","0","2","0","152","10","28","129","3","0","1","35","0","2","0","2","16","0","1","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0"
"L29897","TestJapaneseIterationMarkCharFilter","org.apache.lucene.analysis.ja.TestJapaneseIterationMarkCharFilter","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseIterationMarkCharFilter.java","30","1","219","2","0.40388","6","7","7","0.326316","0.274809","62","36","2","1","1","17","5","0","0","7","23","0","0.231293","34","0","0","15","0.206061","34","2","2","0","0","1","113","170","49","6","2","0","16","0","14","0","166","60","28","141","3","131","190","54","14","2","0","20","0","14","0","192","66","30","161","5","0","0","74","4","12","0","12","28","0","3","0","0","0","2","31","0","0","2","0","0","0","0","0","0","0","0","0","0","12","0"
"L29941","TestJapaneseIterationMarkCharFilterFactory","org.apache.lucene.analysis.ja.TestJapaneseIterationMarkCharFilterFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseIterationMarkCharFilterFactory.java","33","1","98","2","0.666667","2","4","3","0.606061","0.654545","40","36","2","1","1","6","7","0","0","9","14","0.333333","0.0689655","4","4","2","4","0.0677966","4","2","2","0","0","1","54","65","47","6","0","0","5","0","5","0","155","33","28","132","3","55","66","47","6","0","0","5","0","5","0","155","33","28","132","3","0","1","53","1","2","0","2","28","0","1","0","0","0","0","16","0","0","2","0","0","0","0","0","0","0","0","0","0","8","0"
"L29958","TestJapaneseKatakanaStemFilter","org.apache.lucene.analysis.ja.TestJapaneseKatakanaStemFilter","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseKatakanaStemFilter.java","35","1","99","2","0.491228","2","2","2","0.338462","0.511628","22","22","2","0","0","5","4","0","0","8","13","0.333333","0.413043","19","18","2","4","0.31746","20","2","2","0","0","1","27","48","48","6","1","0","5","0","5","0","155","8","28","132","3","43","65","53","18","1","0","8","0","5","0","191","15","30","162","6","0","0","74","3","1","0","3","37","0","1","0","0","0","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
"L29986","TestJapaneseKatakanaStemFilterFactory","org.apache.lucene.analysis.ja.TestJapaneseKatakanaStemFilterFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseKatakanaStemFilterFactory.java","30","1","55","2","0.389381","1","2","1","0.384615","0.416667","10","10","2","1","1","3","5","0","0","8","10","0.666667","0.206897","6","4","2","1","0.2","6","2","2","0","0","1","23","25","47","6","0","0","2","0","2","0","152","10","28","129","3","24","26","47","6","0","0","2","0","2","0","152","10","28","129","3","0","1","35","0","3","0","2","16","0","1","0","0","0","0","10","0","0","2","0","0","0","0","0","0","0","0","0","0","8","0"
"L30000","TestJapanesePartOfSpeechStopFilterFactory","org.apache.lucene.analysis.ja.TestJapanesePartOfSpeechStopFilterFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapanesePartOfSpeechStopFilterFactory.java","31","1","63","2","0","0","0","0","0","0","0","0","2","1","1","3","8","0","0","9","11","0.666667","0.125","4","4","2","1","0.117647","4","2","2","0","0","1","28","31","47","6","0","0","2","0","2","0","152","15","28","129","3","30","33","47","6","0","0","2","0","2","0","152","15","28","129","3","0","1","19","0","2","0","2","0","0","1","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0"
"L30015","TestJapaneseReadingFormFilter","org.apache.lucene.analysis.ja.TestJapaneseReadingFormFilter","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseReadingFormFilter.java","34","1","108","2","0.531136","2","3","3","0.48","0.537313","36","36","2","0","0","6","3","0","0","6","12","0.142857","0.0697674","3","3","1","6","0.0428571","3","2","2","0","0","1","40","48","49","6","2","0","6","0","6","0","156","11","28","133","3","67","75","54","26","2","0","11","0","6","0","216","23","30","183","8","0","0","113","2","2","0","2","53","0","1","0","0","0","2","40","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0"
"L30057","TestJapaneseReadingFormFilterFactory","org.apache.lucene.analysis.ja.TestJapaneseReadingFormFilterFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseReadingFormFilterFactory.java","30","1","52","2","0.431373","1","2","1","0.434783","0.47619","10","10","2","1","1","3","6","0","0","7","9","0.666667","0.166667","4","4","2","1","0.16","4","2","2","0","0","1","20","22","47","6","0","0","2","0","2","0","152","9","28","129","3","21","23","47","6","0","0","2","0","2","0","152","9","28","129","3","0","1","35","0","2","0","2","16","0","1","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0"
