ID;Name;LongName;Parent;Component;Path;Line;Column;EndLine;EndColumn;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NAtt;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;WarningBlocker;WarningCritical;WarningInfo;WarningMajor;WarningMinor;Bad Practice Rules;Best Practice Rules;Clone Metric Rules;Code Style Rules;Cohesion Metric Rules;Complexity Metric Rules;Correctness Rules;Coupling Metric Rules;Design Rules;Documentation Metric Rules;Documentation Rules;Dodgy Code Rules;Error Prone Rules;Experimental Rules;Inheritance Metric Rules;Internationalization Rules;Multithreaded Correctness Rules;Multithreading Rules;Optimization Rules;Performance Rules;Runtime Rules;Security Code Guideline Rules;Security Rules;Size Metric Rules;Vulnerability Rules
L138679;TestAddTaxonomy$1;org.apache.lucene.facet.taxonomy.directory.TestAddTaxonomy$1;L138674;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestAddTaxonomy.java;44;38;57;10;0;0;0;0;0;0;0;0;1;2;2;3;3;0;0;3;4;0;0;0;0;0;2;0;0;0;0;0;0;0;14;14;0;0;0;0;1;0;1;0;1;6;0;1;0;14;14;0;0;0;0;1;0;1;0;1;6;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L138709;TestAddTaxonomy$2;org.apache.lucene.facet.taxonomy.directory.TestAddTaxonomy$2;L138706;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestAddTaxonomy.java;207;29;219;6;0;0;0;0;0;0;0;0;1;2;2;3;2;0;0;2;3;0;0.0769231;1;0;0;2;0.0769231;1;0;0;0;0;0;12;13;0;0;0;0;1;0;1;0;1;6;0;1;0;12;13;0;0;0;0;1;0;1;0;1;6;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L138743;TestConcurrentFacetedIndexing$2;org.apache.lucene.facet.taxonomy.directory.TestConcurrentFacetedIndexing$2;L138739;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestConcurrentFacetedIndexing.java;95;38;123;8;0;0;0;0;0;0;0;0;1;4;4;5;7;0;0;8;9;0;0.0714286;2;0;0;2;0.0714286;2;0;0;0;0;0;26;29;0;0;0;0;1;0;1;0;1;16;0;1;0;26;29;0;0;0;0;1;0;1;0;1;16;0;1;0;0;0;7;1;1;0;0;0;0;0;2;0;0;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
L138772;TestDirectoryTaxonomyReader$1;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyReader$1;L138769;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyReader.java;213;71;221;6;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;3;4;0;0;0;0;0;1;0;0;3;3;0;0;1;9;9;18;7;0;0;1;0;0;0;36;4;1;19;2;9;9;18;7;0;0;1;0;0;0;36;4;1;19;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
L138783;TestDirectoryTaxonomyReader$2;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyReader$2;L138780;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyReader.java;265;71;271;6;1;1;1;1;1;1;7;7;1;0;0;1;4;0;0;0;1;0;0;0;0;0;1;0;0;3;3;0;0;1;7;7;18;7;0;0;1;0;0;0;36;1;1;19;2;7;7;18;7;0;0;1;0;0;0;36;1;1;19;2;0;0;18;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
L138791;TestDirectoryTaxonomyReader$3;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyReader$3;L138788;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyReader.java;308;71;314;6;1;1;1;1;1;1;7;7;1;0;0;1;4;0;0;0;1;0;0;0;0;0;1;0;0;3;3;0;0;1;7;7;18;7;0;0;1;0;0;0;36;1;1;19;2;7;7;18;7;0;0;1;0;0;0;36;1;1;19;2;0;0;18;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
L138830;TestDirectoryTaxonomyWriter$2;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyWriter$2;L138826;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyWriter.java;113;59;115;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
L138844;TestDirectoryTaxonomyWriter$3;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyWriter$3;L138839;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyWriter.java;177;59;179;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
L138855;TestDirectoryTaxonomyWriter$4;org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyWriter$4;L138852;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\directory\TestDirectoryTaxonomyWriter.java;266;36;290;8;0;0;0;0;0;0;0;0;1;2;2;3;4;0;0;5;6;0;0;0;0;0;2;0;0;0;0;0;0;0;25;25;0;0;0;0;1;0;1;0;1;16;0;1;0;25;25;0;0;0;0;1;0;1;0;1;16;0;1;0;0;0;5;1;3;0;1;0;2;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L139302;TaxonomyFacetSumValueSource$ScoreValueSource$1;org.apache.lucene.facet.taxonomy.TaxonomyFacetSumValueSource$ScoreValueSource$1;L139297;L103;D:\Descargas\lucene-4.9.0\facet\src\java\org\apache\lucene\facet\taxonomy\TaxonomyFacetSumValueSource.java;135;40;144;8;1;1;2;1;1;1;10;10;1;1;1;2;2;0;0;1;2;0;0;0;0;0;2;0;0;2;2;0;0;1;10;10;1;5;0;0;1;0;1;0;37;3;0;37;0;10;10;1;5;0;0;1;0;1;0;37;3;0;37;0;0;0;15;1;0;0;0;10;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L140317;TestTaxonomyFacetSumValueSource$1$1;org.apache.lucene.facet.taxonomy.TestTaxonomyFacetSumValueSource$1$1;L140312;L103;D:\Descargas\lucene-4.9.0\facet\src\test\org\apache\lucene\facet\taxonomy\TestTaxonomyFacetSumValueSource.java;333;42;342;10;1;1;2;1;1;1;10;10;1;1;1;2;2;0;0;1;2;0;0;0;0;0;2;0;0;2;2;0;0;1;10;10;1;5;0;0;1;0;1;0;37;3;0;37;0;10;10;1;5;0;0;1;0;1;0;37;3;0;37;0;0;0;15;1;0;0;0;10;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
